date,Open,High,Low,Close,Volume
2008-10-07,33.7,37.95,27.65,30.4,8742540.0
2008-10-08,27.55,28.95,25.25,26.35,2941222.0
2008-10-10,22.0,24.9,21.5,23.35,1362712.0
2008-10-13,24.0,26.7,23.85,24.9,878080.0
2008-10-14,25.0,26.75,21.5,22.35,561952.0
2008-10-15,20.1,25.9,20.1,24.35,862936.0
2008-10-16,21.75,29.2,21.35,27.75,1467944.0
2008-10-17,28.0,28.8,22.25,22.25,1611484.0
2008-10-20,22.9,23.45,19.8,22.05,593186.0
2008-10-21,22.3,22.95,21.15,21.45,205452.0
2008-10-22,21.25,22.45,20.1,20.35,339914.0
2008-10-23,19.7,20.1,18.7,18.9,194570.0
2008-10-24,18.5,19.0,16.0,16.4,135626.0
2008-10-27,15.9,17.8,13.85,15.1,164444.0
2008-10-29,18.5,19.9,16.0,16.35,171824.0
2008-10-31,16.5,17.95,16.25,16.8,197938.0
2008-11-03,17.5,17.75,16.8,17.0,149150.0
2008-11-04,17.0,19.2,16.1,18.3,189968.0
2008-11-05,18.05,18.9,17.55,17.95,97296.0
2008-11-06,18.95,18.95,17.0,17.95,116724.0
2008-11-07,17.45,21.45,17.45,20.45,331664.0
2008-11-10,21.0,22.4,19.55,19.8,270218.0
2008-11-11,20.0,20.0,18.3,18.4,61320.0
2008-11-12,18.0,19.9,17.6,18.25,56342.0
2008-11-14,19.0,19.5,18.5,18.65,101304.0
2008-11-17,18.5,18.5,17.5,17.85,16856.0
2008-11-18,17.1,17.65,16.95,17.15,28442.0
2008-11-19,17.3,17.9,16.4,16.65,37630.0
2008-11-20,15.7,16.9,15.7,16.5,15368.0
2008-11-21,17.35,17.35,15.85,16.1,23460.0
2008-11-24,16.0,17.3,16.0,16.55,11236.0
2008-11-25,16.1,19.35,16.1,17.3,117482.0
2008-11-26,17.95,17.95,16.6,16.95,8138.0
2008-11-28,17.15,17.2,16.2,16.5,7442.0
2008-12-01,16.2,17.25,16.2,16.25,21168.0
2008-12-02,15.6,16.2,15.35,15.75,9174.0
2008-12-03,16.0,16.25,15.7,15.9,16362.0
2008-12-04,15.5,16.8,15.5,15.85,14456.0
2008-12-05,16.0,17.25,15.6,16.25,35468.0
2008-12-08,16.9,17.3,16.1,16.35,35688.0
2008-12-10,16.1,17.0,16.1,16.75,23016.0
2008-12-11,16.5,18.95,16.5,18.45,80816.0
2008-12-12,18.7,18.7,16.8,17.0,28774.0
2008-12-15,16.6,17.65,16.6,17.25,30544.0
2008-12-16,17.15,18.1,17.15,17.65,27544.0
2008-12-17,17.8,18.3,16.3,16.55,45506.0
2008-12-18,16.6,17.0,16.35,16.7,20804.0
2008-12-19,17.0,17.0,16.1,16.25,82730.0
2008-12-22,17.0,17.8,16.6,16.75,30992.0
2008-12-23,16.25,16.8,16.0,16.05,10178.0
2008-12-24,16.75,17.0,15.6,16.05,22192.0
2008-12-26,16.0,16.5,15.6,15.75,14102.0
2008-12-29,15.55,16.25,14.7,15.7,23206.0
2008-12-30,15.2,16.2,15.1,15.7,36128.0
2008-12-31,15.4,16.0,15.2,15.5,28304.0
2009-01-01,15.8,18.4,15.2,17.7,87480.0
2009-01-02,18.0,19.85,17.7,18.45,263748.0
2009-01-05,19.0,20.0,18.35,18.7,100798.0
2009-01-06,18.25,18.4,17.75,17.95,27872.0
2009-01-07,17.55,17.95,15.05,15.8,41946.0
2009-01-09,15.0,15.5,14.5,15.0,45256.0
2009-01-12,14.5,15.8,14.0,14.6,25980.0
2009-01-13,14.65,15.2,14.15,14.4,21066.0
2009-01-14,15.0,15.35,14.55,15.15,9056.0
2009-01-15,15.3,15.3,14.15,14.45,7760.0
2009-01-16,14.75,15.0,14.0,14.15,29998.0
2009-01-19,14.6,14.8,14.25,14.45,4542.0
2009-01-20,14.25,14.9,14.1,14.9,4190.0
2009-01-21,13.25,14.55,13.25,14.45,7400.0
2009-01-22,14.85,15.0,14.0,14.25,13798.0
2009-01-23,14.0,14.7,14.0,14.3,15834.0
2009-01-27,14.3,15.0,13.9,14.15,7724.0
2009-01-28,14.65,14.65,14.1,14.3,8836.0
2009-01-29,14.35,15.0,14.3,14.45,13486.0
2009-01-30,14.05,15.65,13.95,14.95,91528.0
2009-02-02,15.0,15.49,14.3,14.94,18816.0
2009-02-03,15.75,16.45,15.25,15.96,27636.0
2009-02-04,16.05,16.5,15.55,15.58,16502.0
2009-02-05,16.05,16.19,15.7,16.09,13308.0
2009-02-06,16.49,16.49,15.36,15.64,29618.0
2009-02-09,16.4,17.05,15.6,16.37,11224.0
2009-02-10,16.75,18.5,16.58,17.02,86194.0
2009-02-11,17.0,17.9,16.0,17.77,44838.0
2009-02-12,17.5,18.45,17.25,17.65,49014.0
2009-02-13,17.7,18.05,16.82,17.42,4534.0
2009-02-16,18.0,18.0,16.0,16.29,50176.0
2009-02-17,16.5,16.8,15.3,16.25,14764.0
2009-02-18,19.5,19.5,16.0,16.42,30010.0
2009-02-19,16.9,17.79,16.3,16.46,16512.0
2009-02-20,16.95,17.74,16.05,16.07,27332.0
2009-02-24,15.55,15.85,15.0,15.14,6262.0
2009-02-25,15.5,16.3,15.25,15.86,2898.0
2009-02-26,15.0,18.9,15.0,16.67,109524.0
2009-02-27,16.5,16.68,15.5,15.82,4696.0
2009-03-02,16.45,16.5,15.1,15.9,3380.0
2009-03-03,15.25,15.8,15.25,15.35,3920.0
2009-03-04,15.5,15.5,14.45,14.85,23222.0
2009-03-05,15.05,15.4,14.25,14.65,32264.0
2009-03-06,15.9,15.9,14.75,14.95,18112.0
2009-03-09,14.6,15.0,14.1,14.35,6364.0
2009-03-12,14.55,14.8,14.0,14.4,6258.0
2009-03-13,15.45,15.45,14.15,14.95,12852.0
2009-03-16,15.5,15.5,14.5,15.1,122552.0
2009-03-17,15.35,15.45,14.65,15.05,7130.0
2009-03-18,14.1,15.9,14.1,15.65,13180.0
2009-03-19,16.05,16.05,14.9,15.1,6386.0
2009-03-20,14.7,16.0,14.7,14.85,17594.0
2009-03-23,15.5,15.9,14.85,15.5,172808.0
2009-03-24,15.95,15.95,15.1,15.6,17598.0
2009-03-25,15.2,16.0,15.0,15.15,15552.0
2009-03-26,15.5,15.6,14.4,14.55,10904.0
2009-03-27,15.35,15.4,14.65,14.7,6560.0
2009-03-30,15.2,15.2,14.5,14.85,1722.0
2009-03-31,14.85,15.1,14.5,15.0,5072.0
2009-04-01,14.55,15.5,14.55,15.25,9026.0
2009-04-02,15.5,16.5,15.0,16.13,28470.0
2009-04-06,16.6,17.0,15.7,15.89,21168.0
2009-04-08,15.85,16.5,15.15,16.14,28130.0
2009-04-09,16.5,17.35,16.5,17.21,37946.0
2009-04-13,17.35,19.3,16.8,18.94,59398.0
2009-04-15,19.0,19.5,18.45,18.89,59776.0
2009-04-16,19.5,21.5,17.3,17.64,41884.0
2009-04-17,18.89,18.9,17.02,17.2,25346.0
2009-04-20,18.25,18.25,17.0,17.47,9676.0
2009-04-21,17.1,20.96,16.57,20.96,549556.0
2009-04-22,21.2,24.5,21.2,22.47,395200.0
2009-04-23,23.1,23.5,21.01,21.25,70882.0
2009-04-24,21.35,23.25,21.2,22.16,95038.0
2009-04-27,21.55,23.0,21.25,21.75,45436.0
2009-04-28,21.2,26.1,21.2,25.46,562096.0
2009-04-29,26.1,26.4,23.02,23.27,379506.0
2009-05-04,24.5,24.5,22.0,22.6,74390.0
2009-05-05,23.4,23.4,21.95,22.2,24952.0
2009-05-06,23.25,23.35,22.0,22.5,56752.0
2009-05-07,21.3,22.9,21.3,22.3,31456.0
2009-05-08,22.95,23.0,21.3,21.6,27316.0
2009-05-11,22.45,22.45,20.6,20.8,33506.0
2009-05-12,19.85,21.55,19.7,21.1,23578.0
2009-05-13,20.5,21.2,20.2,20.45,9996.0
2009-05-14,19.6,20.5,19.25,19.9,11460.0
2009-05-15,20.15,20.75,19.7,20.15,27792.0
2009-05-19,22.15,22.15,18.65,21.2,32254.0
2009-05-20,21.4,23.3,20.7,22.95,37004.0
2009-05-21,23.0,25.0,23.0,23.2,79070.0
2009-05-22,22.5,24.65,22.5,24.25,41004.0
2009-05-25,25.45,26.65,24.6,26.4,88358.0
2009-05-26,27.25,27.7,25.2,25.35,95176.0
2009-05-27,26.0,26.6,25.45,26.2,47592.0
2009-05-28,25.5,26.85,24.9,25.3,49538.0
2009-05-29,26.5,26.5,24.05,24.7,80232.0
2009-06-01,24.5,25.9,24.4,25.9,39514.0
2009-06-02,27.0,27.15,25.9,27.05,83550.0
2009-06-03,28.4,28.4,27.95,28.4,30120.0
2009-06-04,29.8,29.8,29.05,29.8,38436.0
2009-06-05,30.0,31.25,29.0,29.45,77452.0
2009-06-08,30.0,30.0,28.0,28.0,65530.0
2009-06-09,26.65,28.0,26.65,26.65,57776.0
2009-06-10,27.75,27.95,25.35,25.55,30144.0
2009-06-11,26.0,26.6,25.05,25.8,16076.0
2009-06-12,25.8,26.5,25.2,25.4,21824.0
2009-06-15,26.0,26.0,24.2,24.45,16354.0
2009-06-16,23.25,25.2,23.25,24.8,17092.0
2009-06-17,25.7,26.0,24.05,24.4,8892.0
2009-06-18,24.3,24.3,23.2,23.25,8562.0
2009-06-19,24.35,24.35,22.55,23.6,8734.0
2009-06-22,23.3,24.4,23.25,23.5,6308.0
2009-06-23,23.5,23.5,22.45,23.0,6584.0
2009-06-24,22.9,23.45,22.8,23.35,7648.0
2009-06-25,23.35,24.3,22.85,23.85,8308.0
2009-06-26,23.25,23.85,23.0,23.35,14418.0
2009-06-29,23.1,24.0,23.05,23.65,12334.0
2009-06-30,23.7,24.0,23.05,23.75,16748.0
2009-07-01,23.5,24.3,23.15,24.0,6860.0
2009-07-02,23.65,24.45,23.5,24.2,11362.0
2009-07-03,23.5,25.0,23.5,24.75,14376.0
2009-07-06,24.5,25.4,23.65,23.65,30494.0
2009-07-07,24.45,24.5,23.6,23.65,8114.0
2009-07-08,23.0,23.65,21.95,23.05,22320.0
2009-07-09,22.25,23.65,22.0,22.85,17344.0
2009-07-10,21.65,24.45,21.65,22.9,10872.0
2009-07-13,22.25,22.5,21.55,21.75,6634.0
2009-07-14,22.75,23.5,22.4,23.1,6048.0
2009-07-15,23.5,24.0,22.35,22.95,8240.0
2009-07-16,22.2,23.85,22.2,23.2,10316.0
2009-07-17,23.35,23.35,22.55,22.95,4058.0
2009-07-20,22.5,23.85,22.5,23.05,7794.0
2009-07-21,23.5,23.65,22.25,23.0,3446.0
2009-07-22,23.4,23.8,22.8,22.85,9172.0
2009-07-23,24.5,24.5,22.95,23.45,11508.0
2009-07-24,25.5,25.75,23.35,23.8,16042.0
2009-07-27,25.45,26.15,24.25,26.15,67964.0
2009-07-28,26.5,26.9,25.1,25.4,20362.0
2009-07-29,25.25,25.9,24.0,25.1,40998.0
2009-07-30,25.0,25.75,24.6,25.2,31302.0
2009-07-31,26.9,27.7,25.25,25.8,85372.0
2009-08-03,25.95,26.5,25.95,26.05,34418.0
2009-08-04,26.5,27.75,26.1,27.5,215304.0
2009-08-05,29.0,29.0,27.6,27.7,191186.0
2009-08-06,27.15,28.5,26.1,26.35,92890.0
2009-08-07,25.5,26.75,25.45,25.6,23014.0
2009-08-10,25.15,25.8,24.5,24.85,26238.0
2009-08-11,24.2,26.85,24.0,26.5,104454.0
2009-08-12,26.7,26.8,25.25,26.0,32214.0
2009-08-13,26.55,27.0,26.05,26.2,40284.0
2009-08-14,26.15,27.25,25.8,26.5,27762.0
2009-08-17,26.5,27.0,25.65,25.95,37068.0
2009-08-18,25.5,28.25,25.5,27.4,57508.0
2009-08-19,27.5,28.85,27.05,28.05,68910.0
2009-08-20,29.0,29.5,27.5,27.85,60394.0
2009-08-21,28.6,30.6,28.55,30.6,536672.0
2009-08-24,33.65,33.65,30.6,31.6,332074.0
2009-08-25,31.6,32.4,30.6,32.1,157228.0
2009-08-26,32.5,33.0,31.0,31.65,224230.0
2009-08-27,31.9,32.65,31.05,31.85,217718.0
2009-08-28,31.1,33.6,30.2,32.15,175206.0
2009-08-31,34.0,35.35,32.6,35.35,362512.0
2009-09-01,37.1,37.1,34.55,36.8,743652.0
2009-09-02,36.0,38.6,35.15,38.6,522460.0
2009-09-03,40.45,40.5,38.7,40.5,238650.0
2009-09-04,42.5,42.5,42.5,42.5,87696.0
2009-09-07,44.6,44.6,44.6,44.6,29614.0
2009-09-08,46.8,46.8,43.25,43.75,1738470.0
2009-09-09,44.1,44.1,41.6,41.6,229322.0
2009-09-10,41.1,42.95,39.55,39.55,221530.0
2009-09-11,38.35,39.0,37.6,37.95,195746.0
2009-09-14,38.8,39.8,37.7,39.8,52984.0
2009-09-15,41.75,41.75,41.75,41.75,23534.0
2009-09-16,43.8,43.8,42.15,43.8,1033134.0
2009-09-17,45.95,45.95,42.5,44.3,527994.0
2009-09-18,43.05,44.95,42.2,42.95,99104.0
2009-09-22,43.4,45.05,41.8,42.8,305164.0
2009-09-23,43.4,43.4,40.7,40.8,87408.0
2009-09-24,40.0,42.8,38.8,42.8,262340.0
2009-09-25,43.4,44.9,42.0,42.9,164626.0
2009-09-29,43.9,44.0,41.9,42.1,105578.0
